file,station,lon,lat,unit_flag,O2_250_400m_mLL
KB2021605.npy,273,5.213,60.765,outside_box,
KB2021605.npy,274,5.209,60.764,outside_box,
KB2021605.npy,275,5.207,60.762,outside_box,
KB2021605.npy,276,5.197,60.759,outside_box,
KB2021605.npy,277,5.436,60.648,outside_box,
KB2021605.npy,278,5.423,60.655,outside_box,
KB2021605.npy,279,5.404,60.662,outside_box,
KB2021605.npy,280,5.377,60.68,outside_box,
KB2021605.npy,281,5.349,60.693,outside_box,
KB2021605.npy,282,5.356,60.7,outside_box,
KB2021605.npy,283,5.356,60.712,outside_box,
KB2021605.npy,284,5.364,60.725,outside_box,
KB2021605.npy,285,5.336,60.733,outside_box,
KB2021605.npy,286,5.322,60.737,outside_box,
KB2021605.npy,287,5.313,60.739,outside_box,
KB2021605.npy,288,5.278,60.751,outside_box,
KB2021605.npy,289,5.258,60.753,outside_box,
KB2021605.npy,290,5.234,60.761,outside_box,
KB2021605.npy,291,5.198,60.77,outside_box,
KB2021605.npy,292,5.183,60.779,outside_box,
KB2021605.npy,293,5.131,60.791,outside_box,
KB2021605.npy,294,5.096,60.8,outside_box,
KB2021605.npy,295,5.109,60.789,outside_box,
KB2021605.npy,296,5.112,60.792,outside_box,
KB2021605.npy,297,5.115,60.797,outside_box,
KB2021605.npy,298,5.117,60.801,outside_box,
KB2021605.npy,299,5.122,60.806,outside_box,
KB2021605.npy,300,5.123,60.812,outside_box,
KB2021605.npy,301,5.055,60.83,outside_box,
KB2021605.npy,302,5.006,60.836,outside_box,
KB2021605.npy,303,4.96,60.851,outside_box,
KB2021605.npy,304,4.876,60.853,outside_box,
KB2021605.npy,305,4.782,60.849,outside_box,
KB2021605.npy,306,4.691,60.862,outside_box,
KB2021605.npy,307,4.245,60.441,outside_box,
KB2021605.npy,308,4.304,60.277,outside_box,
KB2021605.npy,309,4.551,60.293,outside_box,
KB2021605.npy,310,4.529,60.452,outside_box,
KB2021605.npy,311,4.742,60.459,outside_box,
KB2021605.npy,312,4.647,60.626,outside_box,
KB2021605.npy,313,4.444,60.608,outside_box,
KB2021605.npy,314,4.197,60.612,outside_box,
KB2021605.npy,315,4.129,60.833,outside_box,
KB2021605.npy,316,4.378,60.85,outside_box,
KB2021605.npy,317,4.581,60.856,outside_box,
KB2021605.npy,318,4.861,60.757,outside_box,
KB2021605.npy,319,4.899,60.751,outside_box,
KB2021605.npy,320,4.928,60.744,outside_box,
KB2021605.npy,321,4.95,60.735,outside_box,
KB2021605.npy,322,4.99,60.73,outside_box,
KB2021605.npy,323,5.027,60.732,outside_box,
KB2021605.npy,324,5.053,60.725,outside_box,
KB2021605.npy,325,5.106,60.708,outside_box,
KB2021605.npy,326,5.172,60.685,outside_box,
KB2021605.npy,327,5.217,60.662,outside_box,
KB2021605.npy,328,4.983,60.731,outside_box,
KB2021605.npy,329,4.983,60.731,outside_box,
KB2021605.npy,330,4.983,60.731,outside_box,
KB2021605.npy,331,4.983,60.731,outside_box,
KB2021605.npy,332,4.983,60.731,outside_box,
KB2021605.npy,333,4.983,60.731,outside_box,
KB2021605.npy,334,4.983,60.731,outside_box,
KB2021605.npy,335,4.983,60.731,outside_box,
KB2021605.npy,336,4.983,60.731,outside_box,
KB2021605.npy,337,4.983,60.731,outside_box,
KB2021605.npy,338,4.983,60.731,outside_box,
KB2021605.npy,339,4.983,60.731,outside_box,
KB2021605.npy,340,4.983,60.731,outside_box,
KB2021605.npy,341,4.983,60.731,outside_box,
KB2021605.npy,342,4.983,60.731,outside_box,
KB2021605.npy,343,4.983,60.731,outside_box,
KB2021605.npy,344,4.983,60.731,outside_box,
KB2021605.npy,345,4.983,60.731,outside_box,
KB2021605.npy,346,4.983,60.731,outside_box,
